constant,lower_bound,upper_bound,primary_source,secondary_source
ramsey-6-8,134,,exoo-tatarevic-2015,ejc-ds1-small-ramsey-numbers
ramsey-6-8,,495,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-6-9,183,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-6-9,,780,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-6-10,204,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-6-10,,1171,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-6-11,262,,tatarevic-2020,ejc-ds1-small-ramsey-numbers
ramsey-6-11,,1804,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-6-12,294,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-6-12,,2566,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-6-13,347,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-6-13,,3703,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-6-14,,5033,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-6-15,401,,trivial,ejc-ds1-small-ramsey-numbers
ramsey-6-15,,6911,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-7-7,205,,mathon-1987,ejc-ds1-small-ramsey-numbers
ramsey-7-7,,540,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-7-8,219,,tatarevic-2020,ejc-ds1-small-ramsey-numbers
ramsey-7-8,,1031,huang-zhang-1993,ejc-ds1-small-ramsey-numbers
ramsey-7-9,252,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-7-9,,1713,huang-zhang-1998,ejc-ds1-small-ramsey-numbers
ramsey-7-10,292,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-7-10,,2826,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-7-11,405,,xu-xie-e-r-2004,ejc-ds1-small-ramsey-numbers
ramsey-7-11,,4553,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-7-12,417,,xiaodong-s-r-2011,ejc-ds1-small-ramsey-numbers
ramsey-7-12,,6954,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-7-13,511,,xu-xie-radziszowski-2004,ejc-ds1-small-ramsey-numbers
ramsey-7-13,,10578,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-7-14,,15263,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-7-15,,22112,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-8-8,282,,burling-reyner-1972,ejc-ds1-small-ramsey-numbers
ramsey-8-8,,1870,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-8-9,329,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-8-9,,3583,trivial,ejc-ds1-small-ramsey-numbers
ramsey-8-10,343,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-8-10,,6090,huang-zhang-1998,ejc-ds1-small-ramsey-numbers
ramsey-8-11,457,,trivial,ejc-ds1-small-ramsey-numbers
ramsey-8-11,,10630,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-8-12,,16944,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-8-13,817,,xu-xie-e-r-2004,ejc-ds1-small-ramsey-numbers
